,time,prices
0,10-Jan,443474
1,10-Feb,441260
2,10-Mar,440817
3,10-Apr,441873
4,10-May,445830
5,10-Jun,444219
6,10-Jul,442515
7,10-Aug,438684
8,10-Sep,435730
9,10-Oct,432400
10,10-Nov,427960
11,10-Dec,425356
12,11-Jan,423695
13,11-Feb,423326
14,11-Mar,420806
15,11-Apr,418116
16,11-May,412713
17,11-Jun,411740
18,11-Jul,410351
19,11-Aug,409012
20,11-Sep,405993
21,11-Oct,402808
22,11-Nov,402486
23,11-Dec,401045
24,12-Jan,400472
25,12-Feb,399385
26,12-Mar,398855
27,12-Apr,398920
28,12-May,400478
29,12-Jun,402586
30,12-Jul,405130
31,12-Aug,407594
32,12-Sep,411279
33,12-Oct,416955
34,12-Nov,421848
35,12-Dec,428643
36,13-Jan,433682
37,13-Feb,442252
38,13-Mar,451006
39,13-Apr,461810
40,13-May,470695
41,13-Jun,479500
42,13-Jul,488323
43,13-Aug,499478
44,13-Sep,509007
45,13-Oct,515618
46,13-Nov,520480
47,13-Dec,523211
48,14-Jan,527651
49,14-Feb,528337
50,14-Mar,530033
51,14-Apr,529716
52,14-May,531222
53,14-Jun,531919
54,14-Jul,534606
55,14-Aug,534265
56,14-Sep,534611
57,14-Oct,534694
58,14-Nov,537948
59,14-Dec,541286
60,15-Jan,545724
61,15-Feb,550456
62,15-Mar,555041
63,15-Apr,556674
64,15-May,559564
65,15-Jun,562356
66,15-Jul,564698
67,15-Aug,567443
68,15-Sep,570388
69,15-Oct,575132
70,15-Nov,578925
71,15-Dec,584545
72,16-Jan,587711
73,16-Feb,591562
74,16-Mar,593862
75,16-Apr,600103
76,16-May,604219
77,16-Jun,608947
78,16-Jul,611310
79,16-Aug,615416
80,16-Sep,620355
81,16-Oct,625774
82,16-Nov,628777
83,16-Dec,630619
84,17-Jan,634128
85,17-Feb,637239
86,17-Mar,640855
87,17-Apr,643133
88,17-May,647743
89,17-Jun,651675
90,17-Jul,656294
91,17-Aug,660355
92,17-Sep,664284
93,17-Oct,667725
94,17-Nov,673738
95,17-Dec,679687
96,18-Jan,685331
97,18-Feb,691194
98,18-Mar,697740
99,18-Apr,702650
100,18-May,704730
101,18-Jun,706155
102,18-Jul,709156
103,18-Aug,711451
104,18-Sep,713262
105,18-Oct,714359
106,18-Nov,715685
107,18-Dec,715600
108,19-Jan,715717
109,19-Feb,713276
110,19-Mar,711206
111,19-Apr,709806
112,19-May,710747
113,19-Jun,712660
114,19-Jul,713807
115,19-Aug,715688
116,19-Sep,718245
117,19-Oct,721896
118,19-Nov,725180
119,19-Dec,730358
120,20-Jan,735910
121,20-Feb,744137
122,20-Mar,752508
